Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1003178,Office building,1/1/17,9,"$4,567,062.92 ",5.27%,"$7,026,250.65 ","$291,589.40 ",1.21,60,41,4%,2002,0
Commercial Real Estate,ABC1003179,Retail space,1/1/15,9,"$6,922,017.42 ",5.22%,"$9,482,215.65 ","$568,932.94 ",1.57,120,52,10%,1997,1
Commercial Real Estate,ABC1003180,Retail space,1/1/16,9,"$3,826,677.13 ",5.96%,"$5,887,195.58 ","$279,053.07 ",1.22,120,2,26%,1996,0
Commercial Real Estate,ABC1003181,Multifamily residential,1/1/11,6,"$17,619,259.05 ",5.88%,"$31,462,962.59 ","$1,717,877.76 ",1.66,180,71,2%,1999,0
Commercial Real Estate,ABC1003182,Office building,1/1/12,7,"$803,119.56 ",4.32%,"$1,434,142.07 ","$47,183.27 ",1.36,120,113,12%,2006,0
Commercial Real Estate,ABC1003183,Office building,1/1/15,5,"$516,026.78 ",5.98%,"$905,310.13 ","$80,029.42 ",2.59,60,10,12%,1997,0
Commercial Real Estate,ABC1003184,Retail space,1/1/17,9,"$3,131,665.58 ",5.25%,"$4,067,098.15 ","$372,139.48 ",2.26,120,22,9%,1995,0
Commercial Real Estate,ABC1003185,Office building,1/1/15,6,"$9,663,715.82 ",4.90%,"$16,661,578.99 ","$993,030.11 ",2.1,180,51,9%,1995,0
Commercial Real Estate,ABC1003186,Retail space,1/1/12,6,"$1,261,816.25 ",4.22%,"$2,138,671.61 ","$112,707.99 ",2.12,60,5,8%,2006,0
Commercial Real Estate,ABC1003187,Multifamily residential,1/1/15,7,"$19,403,940.00 ",4.28%,"$28,121,652.17 ","$2,246,920.01 ",2.71,60,24,2%,2002,0
Commercial Real Estate,ABC1003188,Retail space,1/1/12,8,"$2,911,865.51 ",5.97%,"$4,696,557.28 ","$218,859.57 ",1.26,120,102,15%,1997,0
Commercial Real Estate,ABC1003189,Office building,1/1/18,10,"$16,612,487.05 ",5.02%,"$21,574,658.51 ","$1,346,258.69 ",1.61,60,26,5%,1997,0
Commercial Real Estate,ABC1003190,Multifamily residential,1/1/17,9,"$955,091.36 ",4.36%,"$1,404,546.11 ","$61,378.67 ",1.47,60,35,1%,2005,0
Commercial Real Estate,ABC1003191,Retail space,1/1/13,8,"$2,080,858.37 ",5.41%,"$2,972,654.81 ","$196,492.48 ",1.75,120,103,4%,1999,0
Commercial Real Estate,ABC1003192,Retail space,1/1/12,9,"$751,325.09 ",4.04%,"$1,073,321.56 ","$33,272.97 ",1.1,60,11,3%,2007,0
Commercial Real Estate,ABC1003193,Multifamily residential,1/1/17,6,"$7,445,682.60 ",4.23%,"$10,486,876.90 ","$1,069,661.44 ",3.4,60,53,31%,2005,0
Commercial Real Estate,ABC1003194,Office building,1/1/14,7,"$7,465,175.08 ",4.28%,"$10,226,267.23 ","$938,771.33 ",2.94,120,7,11%,1996,0
Commercial Real Estate,ABC1003195,Multifamily residential,1/1/12,9,"$52,332,451.74 ",4.33%,"$67,964,223.04 ","$4,546,806.52 ",2.01,60,22,1%,2006,0
Commercial Real Estate,ABC1003196,Multifamily residential,1/1/11,9,"$413,723.08 ",4.62%,"$646,442.32 ","$15,514.62 ",0.81,120,50,15%,1999,0
Commercial Real Estate,ABC1003197,Office building,1/1/12,5,"$1,214,319.06 ",4.77%,"$2,248,739.00 ","$144,369.04 ",2.49,60,22,11%,1995,0
Commercial Real Estate,ABC1003198,Multifamily residential,1/1/18,6,"$4,853,224.74 ",5.16%,"$7,583,163.66 ","$590,728.45 ",2.36,60,12,34%,2000,0
Commercial Real Estate,ABC1003199,Multifamily residential,1/1/12,9,"$2,372,190.28 ",4.02%,"$2,858,060.58 ","$233,789.36 ",2.45,60,37,9%,2007,0
Commercial Real Estate,ABC1003200,Office building,1/1/13,7,"$15,141,691.86 ",4.72%,"$22,941,957.36 ","$1,440,754.92 ",2.02,60,3,11%,2004,0
Commercial Real Estate,ABC1003201,Retail space,1/1/13,9,"$20,438,459.12 ",4.41%,"$28,386,748.77 ","$1,141,147.30 ",1.27,120,14,6%,2007,0
Commercial Real Estate,ABC1003202,Office building,1/1/14,11,"$4,583,122.04 ",5.96%,"$6,739,885.35 ","$3,369.94 ",0.01,180,155,36%,1995,0
Commercial Real Estate,ABC1003203,Office building,1/1/16,6,"$4,797,651.87 ",5.34%,"$7,381,002.88 ","$691,599.97 ",2.7,60,45,11%,2006,0
Commercial Real Estate,ABC1003204,Multifamily residential,1/1/15,11,"$3,246,272.69 ",4.87%,"$4,007,744.06 ","$157,905.12 ",1,60,41,8%,2008,1
Commercial Real Estate,ABC1003205,Multifamily residential,1/1/12,10,"$4,149,008.88 ",4.75%,"$5,251,909.97 ","$301,984.82 ",1.53,60,10,5%,2008,0
Commercial Real Estate,ABC1003206,Retail space,1/1/17,9,"$24,420,258.63 ",5.86%,"$35,912,145.04 ","$1,985,941.62 ",1.39,120,75,9%,1995,0
Commercial Real Estate,ABC1003207,Retail space,1/1/16,9,"$11,146,172.92 ",4.71%,"$15,268,730.03 ","$708,469.07 ",1.35,120,101,5%,2009,0
Commercial Real Estate,ABC1003208,Multifamily residential,1/1/17,9,"$520,298.49 ",5.09%,"$684,603.28 ","$55,452.87 ",2.09,120,10,11%,2001,0
Commercial Real Estate,ABC1003209,Retail space,1/1/17,9,"$2,476,166.46 ",5.42%,"$3,751,767.37 ","$175,582.71 ",1.31,120,28,26%,2000,0
Commercial Real Estate,ABC1003210,Office building,1/1/11,7,"$21,677,928.74 ",4.73%,"$30,968,469.62 ","$2,359,797.39 ",2.3,120,19,2%,2006,0
Commercial Real Estate,ABC1003211,Multifamily residential,1/1/14,10,"$2,924,149.99 ",5.12%,"$3,951,554.04 ","$196,392.24 ",1.31,120,10,13%,1996,0
Commercial Real Estate,ABC1003212,Multifamily residential,1/1/18,8,"$4,364,363.76 ",5.11%,"$6,146,991.21 ","$395,251.53 ",1.77,60,13,28%,2004,0
Commercial Real Estate,ABC1003213,Multifamily residential,1/1/15,6,"$2,163,986.83 ",4.49%,"$3,731,011.77 ","$179,088.56 ",1.84,120,78,10%,2004,0
Commercial Real Estate,ABC1003214,Multifamily residential,1/1/15,9,"$50,611,802.01 ",4.12%,"$64,886,925.65 ","$3,821,839.92 ",1.83,120,26,1%,2007,0
Commercial Real Estate,ABC1003215,Multifamily residential,1/1/13,5,"$3,053,994.61 ",5.15%,"$5,873,066.56 ","$317,145.59 ",2.02,60,37,32%,1999,0
Commercial Real Estate,ABC1003216,Retail space,1/1/17,9,"$2,810,188.91 ",4.08%,"$3,958,012.54 ","$140,509.45 ",1.23,120,37,12%,2006,0
Commercial Real Estate,ABC1003217,Multifamily residential,1/1/12,9,"$6,352,156.49 ",5.28%,"$9,074,509.27 ","$485,486.25 ",1.45,60,57,10%,2001,0
Commercial Real Estate,ABC1003218,Retail space,1/1/15,11,"$3,282,441.47 ",5.42%,"$4,052,396.88 ","$252,464.33 ",1.42,120,28,13%,2001,1
Commercial Real Estate,ABC1003219,Retail space,1/1/18,8,"$6,866,795.03 ",4.85%,"$9,671,542.29 ","$619,945.86 ",1.86,120,14,12%,2001,0
Commercial Real Estate,ABC1003220,Retail space,1/1/15,8,"$5,386,236.06 ",5.90%,"$8,286,517.02 ","$493,876.41 ",1.55,120,49,8%,2002,0
Commercial Real Estate,ABC1003221,Multifamily residential,1/1/14,6,"$844,406.01 ",4.28%,"$1,319,384.40 ","$102,648.11 ",2.84,60,56,14%,2005,0
Commercial Real Estate,ABC1003222,Multifamily residential,1/1/13,7,"$3,027,414.48 ",4.61%,"$3,983,440.10 ","$399,539.04 ",2.86,60,51,14%,2006,1
Commercial Real Estate,ABC1003223,Office building,1/1/12,7,"$2,957,860.89 ",4.15%,"$4,286,754.92 ","$297,929.47 ",2.43,60,22,31%,1998,0
Commercial Real Estate,ABC1003224,Office building,1/1/14,7,"$3,153,498.07 ",4.08%,"$4,319,860.37 ","$329,605.35 ",2.56,60,7,29%,2009,0
Commercial Real Estate,ABC1003225,Retail space,1/1/13,8,"$4,793,698.80 ",4.92%,"$6,751,688.45 ","$471,943.02 ",2,120,29,6%,2009,0
Commercial Real Estate,ABC1003226,Multifamily residential,1/1/15,4,"$7,258,526.06 ",4.18%,"$12,302,586.55 ","$957,141.23 ",3.15,60,31,28%,1998,1
Commercial Real Estate,ABC1003227,Retail space,1/1/17,5,"$1,363,606.94 ",4.40%,"$2,311,198.21 ","$159,010.44 ",2.65,60,20,15%,2004,0
Commercial Real Estate,ABC1003228,Multifamily residential,1/1/17,5,"$10,757,363.89 ",4.92%,"$19,209,578.37 ","$1,287,041.75 ",2.43,60,59,12%,2009,0
Commercial Real Estate,ABC1003229,Retail space,1/1/17,8,"$4,759,785.33 ",4.64%,"$6,432,142.34 ","$466,330.32 ",2.11,120,97,11%,2002,0
Commercial Real Estate,ABC1003230,Retail space,1/1/14,5,"$5,442,050.09 ",4.70%,"$8,638,174.75 ","$771,389.01 ",3.02,120,70,4%,1995,0
Commercial Real Estate,ABC1003231,Multifamily residential,1/1/15,7,"$2,398,267.74 ",4.14%,"$3,806,774.19 ","$214,702.06 ",2.16,120,79,7%,1999,0
Commercial Real Estate,ABC1003232,Retail space,1/1/16,7,"$1,446,672.36 ",5.13%,"$2,411,120.60 ","$128,753.84 ",1.73,60,45,3%,2006,0
Commercial Real Estate,ABC1003233,Multifamily residential,1/1/18,8,"$56,267,270.90 ",4.70%,"$83,981,001.34 ","$4,576,964.57 ",1.73,120,87,13%,2004,0
Commercial Real Estate,ABC1003234,Retail space,1/1/19,8,"$14,984,824.49 ",5.67%,"$24,169,071.76 ","$1,230,205.75 ",1.45,120,14,13%,2007,0
Commercial Real Estate,ABC1003235,Office building,1/1/11,11,"$3,225,881.51 ",5.75%,"$4,032,351.89 ","$223,795.53 ",1.21,120,92,3%,2003,0
Commercial Real Estate,ABC1003236,Multifamily residential,1/1/16,12,"$4,518,102.36 ",5.88%,"$5,020,113.73 ","$341,367.73 ",1.28,60,9,1%,2004,0
Commercial Real Estate,ABC1003237,Multifamily residential,1/1/14,8,"$3,185,734.30 ",4.35%,"$4,826,870.15 ","$224,449.46 ",1.62,120,18,40%,2003,0
Commercial Real Estate,ABC1003238,Retail space,1/1/12,5,"$345,006.54 ",5.42%,"$627,284.62 ","$43,721.74 ",2.34,60,51,31%,1995,0
Commercial Real Estate,ABC1003239,Multifamily residential,1/1/14,9,"$1,997,600.23 ",4.51%,"$3,121,250.37 ","$103,001.26 ",1.14,120,115,7%,1998,0
Commercial Real Estate,ABC1003240,Retail space,1/1/17,9,"$2,875,895.60 ",5.43%,"$3,734,929.35 ","$312,240.09 ",2,60,12,40%,2009,0
Commercial Real Estate,ABC1003241,Multifamily residential,1/1/18,8,"$11,060,627.57 ",4.22%,"$16,029,895.03 ","$966,602.67 ",2.07,60,31,6%,1996,0
Commercial Real Estate,ABC1003242,Office building,1/1/18,8,"$11,895,971.63 ",4.15%,"$16,994,245.18 ","$1,092,729.97 ",2.21,120,119,15%,2002,0
Commercial Real Estate,ABC1003243,Retail space,1/1/18,9,"$9,489,988.13 ",4.66%,"$12,999,983.74 ","$674,699.16 ",1.53,180,29,11%,2000,0
Commercial Real Estate,ABC1003244,Multifamily residential,1/1/14,11,"$7,145,012.67 ",4.80%,"$8,821,003.30 ","$348,429.63 ",1.02,120,50,3%,1997,1
Commercial Real Estate,ABC1003245,Office building,1/1/12,7,"$2,644,815.73 ",4.96%,"$4,335,763.50 ","$252,775.01 ",1.93,120,23,4%,2005,0
Commercial Real Estate,ABC1003246,Multifamily residential,1/1/11,8,"$1,979,902.19 ",4.93%,"$3,142,701.88 ","$158,706.45 ",1.63,120,85,9%,2000,0
Commercial Real Estate,ABC1003247,Retail space,1/1/16,11,"$4,192,217.30 ",4.36%,"$5,050,864.22 ","$271,736.50 ",1.49,60,22,6%,1997,0
Commercial Real Estate,ABC1003248,Multifamily residential,1/1/13,8,"$8,299,640.05 ",5.99%,"$13,386,516.22 ","$500,655.71 ",1.01,120,46,14%,1998,0
Commercial Real Estate,ABC1003249,Office building,1/1/16,9,"$6,310,574.05 ",4.35%,"$8,527,802.77 ","$399,101.17 ",1.45,180,116,8%,1996,1
Commercial Real Estate,ABC1003250,Retail space,1/1/18,7,"$8,000,935.87 ",4.53%,"$13,794,717.02 ","$524,199.25 ",1.45,60,22,27%,2002,0
Commercial Real Estate,ABC1003251,Office building,1/1/11,11,"$4,854,157.23 ",4.29%,"$6,067,696.54 ","$199,627.22 ",0.96,60,4,31%,2002,0
Commercial Real Estate,ABC1003252,Multifamily residential,1/1/15,6,"$1,288,095.89 ",5.57%,"$2,341,992.53 ","$145,671.94 ",2.03,120,119,10%,2007,0
Commercial Real Estate,ABC1003253,Multifamily residential,1/1/14,8,"$11,616,214.74 ",5.71%,"$16,835,093.82 ","$1,149,836.91 ",1.73,60,6,13%,1996,0
Commercial Real Estate,ABC1003254,Retail space,1/1/12,8,"$11,372,954.28 ",4.22%,"$16,018,245.46 ","$999,538.52 ",2.08,60,5,8%,2003,0
Commercial Real Estate,ABC1003255,Retail space,1/1/18,10,"$2,540,901.31 ",4.30%,"$2,920,576.22 ","$229,265.23 ",2.1,60,50,31%,2004,0
Commercial Real Estate,ABC1003256,Retail space,1/1/13,9,"$6,585,006.04 ",5.95%,"$8,898,656.81 ","$783,081.80 ",2,60,12,14%,2003,1
Commercial Real Estate,ABC1003257,Retail space,1/1/13,6,"$5,895,488.04 ",4.92%,"$10,164,634.55 ","$580,400.63 ",2,120,117,39%,2003,0
Commercial Real Estate,ABC1003258,Multifamily residential,1/1/17,10,"$2,085,404.28 ",5.02%,"$2,780,539.04 ","$157,656.56 ",1.51,60,2,1%,2009,0
Commercial Real Estate,ABC1003259,Retail space,1/1/12,6,"$5,393,992.42 ",5.95%,"$9,299,986.94 ","$582,179.18 ",1.81,120,66,8%,1997,0
Commercial Real Estate,ABC1003260,Multifamily residential,1/1/18,11,"$2,910,638.97 ",4.55%,"$3,270,380.87 ","$235,467.42 ",1.78,120,87,36%,1996,0
Commercial Real Estate,ABC1003261,Multifamily residential,1/1/13,9,"$21,662,699.68 ",4.54%,"$28,133,376.20 ","$2,129,696.58 ",2.17,180,78,15%,2005,1
Commercial Real Estate,ABC1003262,Multifamily residential,1/1/19,10,"$8,637,699.66 ",4.72%,"$10,161,999.60 ","$723,534.37 ",1.77,180,98,13%,2000,0
Commercial Real Estate,ABC1003263,Retail space,1/1/11,6,"$2,232,512.20 ",5.37%,"$3,382,594.24 ","$332,170.75 ",2.77,60,59,34%,2003,0
Commercial Real Estate,ABC1003264,Retail space,1/1/13,6,"$3,295,557.31 ",5.17%,"$5,585,690.35 ","$399,935.43 ",2.35,120,50,39%,2004,0
Commercial Real Estate,ABC1003265,Retail space,1/1/11,11,"$5,857,491.09 ",5.52%,"$6,973,203.68 ","$389,802.09 ",1.21,60,30,4%,2003,1
Commercial Real Estate,ABC1003266,Office building,1/1/19,9,"$1,257,818.36 ",4.45%,"$1,612,587.64 ","$116,428.83 ",2.08,60,25,32%,2003,0
Commercial Real Estate,ABC1003267,Office building,1/1/17,7,"$16,311,935.65 ",4.44%,"$23,302,765.22 ","$1,889,854.26 ",2.61,120,106,7%,2003,0
Commercial Real Estate,ABC1003268,Office building,1/1/17,9,"$3,209,388.56 ",5.92%,"$4,457,484.12 ","$331,636.82 ",1.75,180,160,12%,1998,0
Commercial Real Estate,ABC1003269,Office building,1/1/18,11,"$4,629,680.46 ",5.93%,"$5,577,928.26 ","$291,167.86 ",1.06,120,65,7%,2005,1
Commercial Real Estate,ABC1003270,Retail space,1/1/16,9,"$7,637,029.34 ",5.87%,"$11,749,275.90 ","$495,819.44 ",1.11,120,82,13%,2003,0
Commercial Real Estate,ABC1003271,Office building,1/1/13,9,"$5,722,762.96 ",5.16%,"$8,804,250.71 ","$336,322.38 ",1.14,180,130,9%,1998,0
Commercial Real Estate,ABC1003272,Multifamily residential,1/1/12,6,"$8,232,616.90 ",4.26%,"$13,953,587.96 ","$682,330.45 ",1.95,120,9,5%,2004,0
Commercial Real Estate,ABC1003273,Retail space,1/1/18,9,"$2,226,629.70 ",4.94%,"$3,008,959.06 ","$208,219.97 ",1.89,180,10,31%,2004,0
Commercial Real Estate,ABC1003274,Multifamily residential,1/1/18,7,"$6,246,612.42 ",4.33%,"$11,154,665.04 ","$380,374.08 ",1.41,120,64,7%,2005,0
Commercial Real Estate,ABC1003275,Multifamily residential,1/1/12,9,"$484,119.45 ",5.99%,"$780,837.83 ","$12,883.82 ",0.44,120,22,3%,2004,0
Commercial Real Estate,ABC1003276,Office building,1/1/17,6,"$8,986,243.51 ",5.49%,"$15,493,523.29 ","$955,950.39 ",1.94,60,32,3%,2009,0
Commercial Real Estate,ABC1003277,Multifamily residential,1/1/17,8,"$1,235,268.15 ",4.65%,"$1,692,148.15 ","$120,142.52 ",2.09,60,13,8%,1997,0
Commercial Real Estate,ABC1003278,Retail space,1/1/14,10,"$5,625,423.72 ",5.25%,"$7,401,873.32 ","$409,323.59 ",1.39,60,46,30%,1998,1
Commercial Real Estate,ABC1003279,Multifamily residential,1/1/13,9,"$12,941,403.58 ",5.63%,"$17,974,171.65 ","$974,200.10 ",1.34,120,5,3%,2008,0
Commercial Real Estate,ABC1003280,Multifamily residential,1/1/14,8,"$3,184,791.30 ",5.62%,"$4,683,516.62 ","$311,922.21 ",1.74,180,174,3%,1998,0
Commercial Real Estate,ABC1003281,Retail space,1/1/13,4,"$13,742,797.36 ",4.09%,"$21,473,120.87 ","$2,127,986.28 ",3.79,180,41,6%,2008,0
Commercial Real Estate,ABC1003282,Multifamily residential,1/1/13,11,"$1,869,245.66 ",4.62%,"$2,459,533.77 ","$68,129.09 ",0.79,60,2,13%,2001,1
Commercial Real Estate,ABC1003283,Office building,1/1/12,6,"$40,896,510.20 ",4.37%,"$62,917,708.01 ","$4,397,947.79 ",2.46,120,111,36%,1998,0
Commercial Real Estate,ABC1003284,Multifamily residential,1/1/15,9,"$5,349,419.44 ",4.70%,"$7,752,781.79 ","$390,740.20 ",1.55,60,8,1%,1995,0
Commercial Real Estate,ABC1003285,Retail space,1/1/13,10,"$6,561,175.00 ",4.59%,"$9,373,107.15 ","$233,390.37 ",0.77,60,39,10%,1996,0
Commercial Real Estate,ABC1003286,Office building,1/1/18,8,"$5,344,443.72 ",5.17%,"$7,745,570.61 ","$513,531.33 ",1.86,120,61,32%,1995,0
Commercial Real Estate,ABC1003287,Retail space,1/1/15,10,"$8,647,445.88 ",5.63%,"$11,845,816.27 ","$403,942.33 ",0.83,180,117,11%,2000,0
Commercial Real Estate,ABC1003288,Multifamily residential,1/1/19,7,"$7,623,051.87 ",4.88%,"$11,550,078.58 ","$727,654.95 ",1.96,120,68,9%,2007,0
Commercial Real Estate,ABC1003289,Multifamily residential,1/1/13,9,"$3,817,532.14 ",4.34%,"$5,023,068.61 ","$324,490.23 ",1.96,120,20,12%,1996,0
Commercial Real Estate,ABC1003290,Multifamily residential,1/1/19,7,"$1,926,999.26 ",5.15%,"$3,010,936.35 ","$225,218.04 ",2.27,60,27,29%,1998,0
Commercial Real Estate,ABC1003291,Multifamily residential,1/1/19,11,"$7,920,904.73 ",5.68%,"$9,429,648.49 ","$619,527.91 ",1.38,60,34,11%,1999,0
Commercial Real Estate,ABC1003292,Multifamily residential,1/1/17,8,"$1,489,924.30 ",5.81%,"$2,257,461.05 ","$123,708.87 ",1.43,60,50,1%,2007,0
Commercial Real Estate,ABC1003293,Multifamily residential,1/1/15,6,"$6,974,496.56 ",5.67%,"$12,024,994.07 ","$826,117.09 ",2.09,120,33,5%,2006,0
Commercial Real Estate,ABC1003294,Retail space,1/1/13,6,"$283,692.80 ",5.24%,"$457,569.03 ","$33,905.86 ",2.28,60,39,12%,1996,0
Commercial Real Estate,ABC1003295,Multifamily residential,1/1/14,8,"$2,130,730.66 ",4.52%,"$3,382,112.16 ","$121,079.62 ",1.26,60,44,5%,2009,0
Commercial Real Estate,ABC1003296,Multifamily residential,1/1/18,4,"$2,438,901.68 ",4.96%,"$4,133,731.65 ","$369,142.24 ",3.05,120,65,34%,2000,0
Commercial Real Estate,ABC1003297,Multifamily residential,1/1/17,8,"$6,871,101.00 ",4.59%,"$9,543,195.83 ","$624,125.01 ",1.98,60,58,15%,2003,0
Commercial Real Estate,ABC1003298,Multifamily residential,1/1/17,10,"$1,980,633.59 ",5.05%,"$2,539,273.84 ","$167,338.15 ",1.67,180,125,32%,1997,0
Commercial Real Estate,ABC1003299,Multifamily residential,1/1/19,12,"$2,605,702.55 ",5.55%,"$3,029,886.69 ","$58,779.80 ",0.41,60,49,15%,2001,1
Commercial Real Estate,ABC1003300,Retail space,1/1/12,7,"$10,423,668.62 ",4.08%,"$14,278,998.11 ","$1,290,821.43 ",3.04,120,107,34%,1996,0
Commercial Real Estate,ABC1003301,Office building,1/1/16,8,"$15,842,865.17 ",5.79%,"$23,298,331.13 ","$1,444,496.53 ",1.57,180,11,2%,2008,0
Commercial Real Estate,ABC1003302,Retail space,1/1/12,7,"$878,428.15 ",5.85%,"$1,372,543.99 ","$104,862.36 ",2.04,60,28,4%,2004,0
Commercial Real Estate,ABC1003303,Multifamily residential,1/1/12,10,"$15,662,765.91 ",5.62%,"$21,165,899.88 ","$967,281.62 ",1.1,60,26,9%,2008,1
Commercial Real Estate,ABC1003304,Multifamily residential,1/1/11,8,"$2,013,224.45 ",5.24%,"$3,004,812.61 ","$189,904.16 ",1.8,180,139,36%,1996,0
Commercial Real Estate,ABC1003305,Retail space,1/1/13,7,"$7,985,088.35 ",4.92%,"$12,098,618.71 ","$758,583.39 ",1.93,60,21,2%,2002,1
Commercial Real Estate,ABC1003306,Office building,1/1/18,9,"$15,521,884.48 ",4.02%,"$20,158,291.53 ","$1,167,165.08 ",1.87,120,3,4%,1995,0
Commercial Real Estate,ABC1003307,Multifamily residential,1/1/12,9,"$4,932,453.52 ",5.04%,"$7,148,483.36 ","$269,497.82 ",1.08,120,62,4%,1995,0
Commercial Real Estate,ABC1003308,Office building,1/1/19,9,"$22,849,217.52 ",5.15%,"$36,268,599.24 ","$1,124,326.58 ",0.96,180,180,31%,1998,0
Commercial Real Estate,ABC1003309,Retail space,1/1/11,10,"$2,887,883.54 ",4.17%,"$3,521,809.19 ","$229,269.78 ",1.9,60,6,1%,1997,0
Commercial Real Estate,ABC1003310,Retail space,1/1/14,7,"$2,858,185.71 ",5.04%,"$4,763,642.84 ","$283,436.75 ",1.97,60,40,7%,2005,0
Commercial Real Estate,ABC1003311,Multifamily residential,1/1/18,8,"$9,505,055.62 ",5.02%,"$14,623,162.49 ","$861,304.27 ",1.81,120,103,14%,2004,0
Commercial Real Estate,ABC1003312,Office building,1/1/11,11,"$1,743,441.85 ",4.02%,"$1,958,923.42 ","$111,462.74 ",1.59,120,112,6%,2002,1
Commercial Real Estate,ABC1003313,Office building,1/1/14,8,"$11,011,232.76 ",5.06%,"$16,192,989.35 ","$1,149,702.24 ",2.06,60,59,8%,2004,0
Commercial Real Estate,ABC1003314,Retail space,1/1/17,9,"$4,452,022.00 ",5.60%,"$6,270,453.52 ","$389,395.16 ",1.56,120,54,12%,1996,0
Commercial Real Estate,ABC1003315,Multifamily residential,1/1/14,9,"$2,678,734.95 ",5.50%,"$3,772,866.13 ","$209,016.78 ",1.42,120,46,7%,2005,0
Commercial Real Estate,ABC1003316,Office building,1/1/14,10,"$1,246,079.43 ",5.75%,"$1,519,609.06 ","$119,441.27 ",1.67,60,40,34%,1997,0
Commercial Real Estate,ABC1003317,Multifamily residential,1/1/11,5,"$2,495,907.33 ",4.02%,"$4,159,845.56 ","$285,365.41 ",2.84,60,39,39%,2002,0
Commercial Real Estate,ABC1003318,Office building,1/1/14,10,"$3,736,042.81 ",5.70%,"$4,789,798.47 ","$261,044.02 ",1.23,60,34,9%,1998,0
Commercial Real Estate,ABC1003319,Office building,1/1/13,6,"$1,612,380.28 ",5.49%,"$2,239,417.05 ","$275,000.41 ",3.11,120,90,14%,2003,0
Commercial Real Estate,ABC1003320,Office building,1/1/19,8,"$2,822,955.92 ",5.73%,"$4,032,794.17 ","$344,400.62 ",2.13,60,16,14%,2006,0
Commercial Real Estate,ABC1003321,Office building,1/1/12,10,"$613,360.25 ",5.94%,"$888,927.90 ","$33,690.37 ",0.92,60,38,38%,2009,0
Commercial Real Estate,ABC1003322,Office building,1/1/15,10,"$2,788,251.57 ",4.95%,"$3,983,216.53 ","$94,402.23 ",0.68,120,99,28%,2007,0
Commercial Real Estate,ABC1003323,Multifamily residential,1/1/12,12,"$633,611.66 ",4.17%,"$772,697.15 ","$9,195.10 ",0.35,120,8,15%,2000,1
Commercial Real Estate,ABC1003324,Retail space,1/1/14,8,"$3,235,075.20 ",4.12%,"$5,054,805.00 ","$209,268.93 ",1.57,120,63,8%,2002,0
Commercial Real Estate,ABC1003325,Office building,1/1/11,6,"$4,308,636.18 ",5.65%,"$6,244,400.26 ","$695,001.75 ",2.85,120,102,14%,2000,0
Commercial Real Estate,ABC1003326,Multifamily residential,1/1/12,8,"$6,255,235.85 ",5.59%,"$8,936,051.21 ","$757,777.14 ",2.17,120,5,4%,2006,0
Commercial Real Estate,ABC1003327,Office building,1/1/16,8,"$2,245,246.19 ",5.76%,"$3,454,224.90 ","$189,291.52 ",1.46,120,23,13%,2005,0
Commercial Real Estate,ABC1003328,Multifamily residential,1/1/12,5,"$2,766,695.11 ",4.12%,"$4,940,526.98 ","$280,127.88 ",2.46,120,25,2%,1997,0
Commercial Real Estate,ABC1003329,Office building,1/1/16,9,"$2,553,040.32 ",5.24%,"$3,647,200.46 ","$204,607.95 ",1.53,120,1,27%,2009,0
Commercial Real Estate,ABC1003330,Multifamily residential,1/1/16,8,"$1,248,812.31 ",5.97%,"$1,892,139.87 ","$105,959.83 ",1.42,60,55,11%,1997,0
Commercial Real Estate,ABC1003331,Retail space,1/1/16,10,"$4,332,524.56 ",4.34%,"$5,776,699.42 ","$281,325.26 ",1.5,60,55,14%,2009,0
Commercial Real Estate,ABC1003332,Retail space,1/1/15,10,"$37,568,932.39 ",4.30%,"$45,263,773.96 ","$2,643,404.40 ",1.64,120,67,39%,1998,1
Commercial Real Estate,ABC1003333,Retail space,1/1/12,6,"$3,286,850.12 ",4.38%,"$4,502,534.41 ","$447,101.67 ",3.11,120,3,7%,2005,0
Commercial Real Estate,ABC1003334,Multifamily residential,1/1/13,9,"$7,132,302.17 ",4.10%,"$9,509,736.23 ","$518,280.62 ",1.77,60,39,13%,1998,0
Commercial Real Estate,ABC1003335,Multifamily residential,1/1/12,10,"$3,425,305.17 ",4.77%,"$4,628,790.77 ","$219,404.68 ",1.34,120,16,7%,2007,0
Commercial Real Estate,ABC1003336,Office building,1/1/15,5,"$2,378,791.36 ",5.04%,"$4,574,598.77 ","$279,507.98 ",2.33,120,22,13%,2006,0
Commercial Real Estate,ABC1003337,Retail space,1/1/12,10,"$4,559,249.71 ",5.60%,"$5,921,103.52 ","$348,753.00 ",1.37,180,3,13%,2002,0
